test_id,test_name,pipeline,browser,os,language,cloud_provider,branch,root_cause,failure_stage,failure_type,error_message,stack_trace,severity,old_value,new_value,retry_count,test_duration_sec,cpu_usage_pct,memory_usage_mb,is_flaky_test,recommendation,developer_alert,timestamp
SEL-3122,File Upload Test,GitHub Actions,Chrome,macos-latest,Python,AWS,feature-x,test_data_issue,test,Test Failure,NullPointerException: Test data record not found in database for user_id=TEST_9921,NullPointerException at FileUploadTest.getTestRecord(),LOW,hardcoded/stale test data,dynamic test data with @BeforeEach setup,1,8,21.8,331,False,Use dynamic test data generation instead of hardcoded values,True,2025-10-22T00:00:00
SEL-6088,Form Validation Test,Azure DevOps,Chrome,ubuntu-latest,Java,AWS,release,application_defect,test,Test Failure,AssertionError: Password reset link expired immediately — token TTL bug,AssertionError at FormValidationTest.assertBusinessRule() — logic defect detected,CRITICAL,N/A,N/A,1,63,27.64,883,False,Forward to developer: application behaviour does not match expected specification,True,2025-07-04T00:00:00
SEL-4039,Cart Validation Test,Jenkins,Firefox,macos-latest,C#,On-Prem,main,environment_failure,build,Configuration Error,WebDriverException: Chrome browser failed to launch — ChromeDriver version mismatch,ConnectionRefusedError at CartValidationTest.setupEnvironment(),CRITICAL,N/A,N/A,4,35,66.19,7711,False,Update ChromeDriver version to match installed Chrome browser version,True,2025-09-15T00:00:00
SEL-3032,File Upload Test,GitHub Actions,Safari,windows-latest,Java,On-Prem,develop,test_data_issue,test,Test Failure,AssertionError: Expected status 'ACTIVE' but found 'INACTIVE' — stale test fixture,NullPointerException at FileUploadTest.getTestRecord(),MEDIUM,hardcoded/stale test data,dynamic test data with @BeforeEach setup,0,26,13.82,1673,False,Re-seed test database with fresh test data before execution,True,2025-05-24T00:00:00
SEL-1094,Product Search Test,Azure DevOps,Safari,ubuntu-latest,JavaScript,Azure,feature-x,locator_issue,test,Test Failure,org.openqa.selenium.NoSuchElementException: no such element: Unable to locate element: {//button[@id='pay']},"NoSuchElementException at ProductSearchTest.findElement(By.cssSelector(""//button[@id='pay']""))",HIGH,//button[@id='pay'],[data-testid='confirm-order'],1,86,59.69,2384,True,Update locator from '//button[@id='pay']' to '[data-testid='confirm-order']' using stable data-testid attribute,False,2025-09-13T00:00:00
SEL-4083,User Role Test,Jenkins,Firefox,ubuntu-latest,JavaScript,AWS,hotfix,environment_failure,test,Dependency Error,DockerContainerError: Test container exited unexpectedly with code 137 (OOM Killed),WebDriverException at WebDriver.initialize() — driver binary not found,HIGH,N/A,N/A,3,10,74.15,5732,False,Update ChromeDriver version to match installed Chrome browser version,True,2025-04-26T00:00:00
SEL-6046,Cart Validation Test,GitLab CI,Edge,ubuntu-latest,C#,Azure,main,application_defect,test,Test Failure,AssertionError: Exported CSV file has 0 rows — data export functionality broken,AssertionError at CartValidationTest.validatePageContent() — incorrect UI state,HIGH,N/A,N/A,1,44,38.5,1815,False,This is an application-level defect. Raise a bug report for the development team,True,2025-04-24T00:00:00
SEL-1115,Order History Test,Azure DevOps,Firefox,windows-latest,JavaScript,Azure,release,locator_issue,test,Test Failure,InvalidSelectorException: invalid selector: //input[@name='username'] is not a valid CSS selector,ElementNotInteractableException at OrderHistoryTest.sendKeys(),MEDIUM,//input[@name='username'],[data-cy='checkout-form'],2,48,45.37,2599,False,Locator changed after UI refactor. Use '[data-cy='checkout-form']' instead of '//input[@name='username']',False,2025-10-16T00:00:00
SEL-6119,Multi-Tab Navigation Test,Azure DevOps,Firefox,windows-latest,Java,On-Prem,hotfix,application_defect,test,Test Failure,AssertionError: Form submission succeeded but no confirmation email was sent,AssertionError at Multi-TabNavigationTest.assertBusinessRule() — logic defect detected,CRITICAL,N/A,N/A,1,43,37.25,2005,False,This is an application-level defect. Raise a bug report for the development team,True,2025-06-13T00:00:00
SEL-4031,Multi-Tab Navigation Test,Jenkins,Firefox,ubuntu-latest,JavaScript,On-Prem,hotfix,environment_failure,build,Configuration Error,DockerContainerError: Test container exited unexpectedly with code 137 (OOM Killed),ConnectionRefusedError at Multi-TabNavigationTest.setupEnvironment(),CRITICAL,N/A,N/A,5,26,76.62,6830,False,Verify test environment Docker containers are healthy before test run,True,2025-07-08T00:00:00
SEL-6085,Product Search Test,GitHub Actions,Firefox,ubuntu-latest,JavaScript,Azure,main,application_defect,test,Test Failure,AssertionError: Expected button 'Add to Cart' to be enabled but it is disabled — regression introduced,AssertionError at ProductSearchTest.assertBusinessRule() — logic defect detected,HIGH,N/A,N/A,0,79,33.94,795,False,Test correctly identified a regression. Do NOT auto-heal — requires code fix,True,2025-06-11T00:00:00
SEL-4065,User Role Test,GitHub Actions,Chrome,macos-latest,Python,GCP,develop,environment_failure,build,Resource Exhaustion,Failed to complete the action on the web application.,Exception at generic_handler.py,CRITICAL,N/A,N/A,5,31,85.75,3025,False,Restart test environment services and verify all dependencies are running,True,2025-11-21T00:00:00
SEL-3117,Multi-Tab Navigation Test,Jenkins,Chrome,windows-latest,JavaScript,GCP,develop,test_data_issue,test,Test Failure,AssertionError: Expected user role 'admin' but got 'viewer' — DB seed data incorrect,DataNotFoundException at TestDataHelper.fetchRecord(),LOW,hardcoded/stale test data,dynamic test data with @BeforeEach setup,0,26,22.92,1520,True,Re-seed test database with fresh test data before execution,True,2025-10-15T00:00:00
SEL-1150,Registration Test,GitHub Actions,Safari,windows-latest,C#,AWS,main,locator_issue,test,Test Failure,org.openqa.selenium.NoSuchElementException: no such element: Unable to locate element: {#submit-btn},StaleElementReferenceException at RegistrationTest.clickElement(),HIGH,#submit-btn,[data-cy='checkout-form'],2,81,59.22,4049,False,Update locator from '#submit-btn' to '[data-cy='checkout-form']' using stable data-testid attribute,False,2025-05-30T00:00:00
SEL-3085,Filter Test,GitLab CI,Firefox,windows-latest,C#,GCP,feature-x,test_data_issue,test,Test Failure,AssertionError: Expected price 250.00 but found 199.00 — test data mismatch,DataNotFoundException at TestDataHelper.fetchRecord(),LOW,hardcoded/stale test data,dynamic test data with @BeforeEach setup,0,49,37.52,1631,True,Validate test data availability in @BeforeEach setup method,True,2025-10-10T00:00:00
SEL-1022,Profile Update Test,GitLab CI,Safari,macos-latest,Java,Azure,develop,locator_issue,test,Test Failure,selenium.common.exceptions.NoSuchElementException: Message: no such element: #register-link,StaleElementReferenceException at ProfileUpdateTest.clickElement(),HIGH,#register-link,//button[@data-qa='pay-now'],0,99,66.22,3716,False,Locator changed after UI refactor. Use '//button[@data-qa='pay-now']' instead of '#register-link',False,2025-05-08T00:00:00
SEL-4092,Login Test,GitHub Actions,Edge,ubuntu-latest,C#,On-Prem,feature-x,environment_failure,build,Resource Exhaustion,ConnectionError: Test application server returned HTTP 503 — service unavailable,ConnectionRefusedError at LoginTest.setupEnvironment(),CRITICAL,N/A,N/A,1,33,85.59,6599,True,Update ChromeDriver version to match installed Chrome browser version,True,2025-07-01T00:00:00
SEL-4107,Filter Test,CircleCI,Edge,ubuntu-latest,C#,AWS,release,environment_failure,test,Resource Exhaustion,WebDriverException: Chrome browser failed to launch — ChromeDriver version mismatch,ConnectionRefusedError at FilterTest.setupEnvironment(),HIGH,N/A,N/A,5,36,96.79,4477,False,Restart test environment services and verify all dependencies are running,True,2025-06-08T00:00:00
SEL-4053,Registration Test,GitHub Actions,Chrome,macos-latest,Java,Azure,develop,environment_failure,test,Configuration Error,DockerContainerError: Test container exited unexpectedly with code 137 (OOM Killed),EnvironmentError at TestBase.getDriver() — RemoteWebDriver unavailable,HIGH,N/A,N/A,2,37,63.05,6826,False,Update ChromeDriver version to match installed Chrome browser version,True,2025-04-12T00:00:00
SEL-5100,Dashboard Load Test,Jenkins,Safari,ubuntu-latest,JavaScript,Azure,hotfix,network_api_error,test,Network Error,AssertionError: Expected response field 'status' == 'success' but got 'error',AssertionError at APIHelper.assertResponseStatus() — unexpected status code,MEDIUM,N/A,N/A,2,92,20.47,1282,True,Use mock API responses for test isolation instead of live API calls,True,2025-12-11T00:00:00
SEL-6124,Multi-Tab Navigation Test,Azure DevOps,Edge,ubuntu-latest,Python,GCP,hotfix,application_defect,test,Test Failure,System.Exception: General failure detected in the testing pipeline.,Exception at generic_handler.py,HIGH,N/A,N/A,1,30,49.3,1531,False,Forward to developer: application behaviour does not match expected specification,True,2025-04-02T00:00:00
SEL-2140,Product Search Test,GitHub Actions,Firefox,macos-latest,Python,On-Prem,release,synchronization_issue,test,Timeout,selenium.common.exceptions.ElementNotVisibleException: element is not visible at the time of interaction,TimeoutException at ProductSearchTest.waitForElement() — implicit wait too short,MEDIUM,time.sleep(2),"WebDriverWait(driver, 12).until(EC.invisibility_of_element_located(loader))",3,52,37.48,2946,True,"Replace 'time.sleep(2)' with explicit wait: WebDriverWait(driver, 12).until(EC.invisibility_of_element_located(loader))",False,2025-06-20T00:00:00
SEL-6017,Session Timeout Test,GitHub Actions,Firefox,windows-latest,JavaScript,Azure,main,application_defect,test,Test Failure,System.Exception: General failure detected in the testing pipeline.,Exception at generic_handler.py,CRITICAL,N/A,N/A,0,10,43.45,1857,False,This is an application-level defect. Raise a bug report for the development team,True,2025-07-08T00:00:00
SEL-2016,Payment Test,Azure DevOps,Chrome,macos-latest,Python,On-Prem,develop,synchronization_issue,test,Timeout,System.Exception: General failure detected in the testing pipeline.,Exception at generic_handler.py,MEDIUM,driver.implicitly_wait(2),"WebDriverWait(driver, 30).until(EC.text_to_be_present_in_element(locator, text))",2,159,34.33,1763,True,Use fluent wait to handle dynamic page loading instead of fixed sleep,False,2025-12-30T00:00:00
SEL-1165,Multi-Tab Navigation Test,GitLab CI,Firefox,windows-latest,C#,AWS,hotfix,locator_issue,test,Test Failure,Test runner encountered an unhandled exception.,Exception at generic_handler.py,MEDIUM,#email-field,//button[@data-qa='pay-now'],2,110,57.84,3624,False,Locator changed after UI refactor. Use '//button[@data-qa='pay-now']' instead of '#email-field',False,2025-04-22T00:00:00
SEL-2007,Profile Update Test,Azure DevOps,Safari,macos-latest,Java,AWS,release,synchronization_issue,test,Timeout,selenium.common.exceptions.ElementNotVisibleException: element is not visible at the time of interaction,ElementClickInterceptedException at ProfileUpdateTest.clickButton() — overlay not dismissed,HIGH,time.sleep(2),"WebDriverWait(driver, 10).until(EC.presence_of_element_located(locator))",2,273,21.95,2129,True,Use fluent wait to handle dynamic page loading instead of fixed sleep,False,2025-01-18T00:00:00
SEL-2106,Session Timeout Test,Azure DevOps,Firefox,macos-latest,Java,On-Prem,hotfix,synchronization_issue,test,Timeout,ElementClickInterceptedException: element click intercepted: another element obscures the target,ElementClickInterceptedException at SessionTimeoutTest.clickButton() — overlay not dismissed,HIGH,driver.implicitly_wait(2),"WebDriverWait(driver, 10).until(EC.presence_of_element_located(locator))",4,233,10.01,653,True,Increase timeout and add explicit visibility check before interaction,False,2025-11-02T00:00:00
SEL-6058,Checkout Test,GitLab CI,Safari,macos-latest,C#,On-Prem,main,application_defect,test,Test Failure,AssertionError: Expected button 'Add to Cart' to be enabled but it is disabled — regression introduced,AssertionError at CheckoutTest.verifyExpectedBehavior() — application regression,CRITICAL,N/A,N/A,0,31,34.66,1903,False,This is an application-level defect. Raise a bug report for the development team,True,2025-05-05T00:00:00
SEL-6099,Password Reset Test,CircleCI,Edge,macos-latest,C#,AWS,feature-x,application_defect,test,Test Failure,Failed to complete the action on the web application.,Exception at generic_handler.py,CRITICAL,N/A,N/A,1,33,30.21,2508,False,Forward to developer: application behaviour does not match expected specification,True,2025-08-22T00:00:00
SEL-2058,Payment Test,Jenkins,Chrome,macos-latest,Python,On-Prem,hotfix,synchronization_issue,test,Timeout,selenium.common.exceptions.TimeoutException: Message: Timeout waiting for element to be clickable,TimeoutException at PaymentTest.waitForElement() — implicit wait too short,HIGH,driver.implicitly_wait(2),"WebDriverWait(driver, 15).until(EC.visibility_of_element_located(locator))",4,106,24.63,1426,True,Use fluent wait to handle dynamic page loading instead of fixed sleep,False,2025-05-29T00:00:00
SEL-1167,Cart Validation Test,Azure DevOps,Firefox,ubuntu-latest,Java,AWS,hotfix,locator_issue,test,Test Failure,org.openqa.selenium.StaleElementReferenceException: stale element reference: element is not attached to the page document; locator=#register-link,ElementNotInteractableException at CartValidationTest.sendKeys(),MEDIUM,#register-link,[data-testid='add-to-cart'],2,73,28.42,3395,False,Replace brittle CSS selector '#register-link' with data attribute '[data-testid='add-to-cart']',False,2025-10-21T00:00:00
SEL-2003,Cart Validation Test,Jenkins,Chrome,windows-latest,C#,AWS,release,synchronization_issue,test,Timeout,selenium.common.exceptions.TimeoutException: Message: Timeout waiting for element to be clickable,TimeoutException at WebDriverWait.until() — element not ready within timeout period,HIGH,"WebDriverWait(driver, 5)","WebDriverWait(driver, 20).until(EC.element_to_be_clickable(locator))",2,57,14.05,1353,True,"Replace 'WebDriverWait(driver, 5)' with explicit wait: WebDriverWait(driver, 20).until(EC.element_to_be_clickable(locator))",False,2025-07-29T00:00:00
SEL-4033,Profile Update Test,Jenkins,Chrome,windows-latest,Python,Azure,feature-x,environment_failure,test,Dependency Error,EnvironmentError: Selenium Grid node is unavailable — no free nodes in the hub,WebDriverException at WebDriver.initialize() — driver binary not found,CRITICAL,N/A,N/A,3,17,87.52,4129,False,Restart test environment services and verify all dependencies are running,True,2025-06-03T00:00:00
SEL-1061,Login Test,CircleCI,Edge,ubuntu-latest,Python,On-Prem,feature-x,locator_issue,test,Test Failure,selenium.common.exceptions.NoSuchElementException: Message: no such element: //div[@class='dropdown']/a,ElementNotInteractableException at LoginTest.sendKeys(),MEDIUM,//div[@class='dropdown']/a,[data-testid='email-input'],0,86,29.51,1538,True,Locator changed after UI refactor. Use '[data-testid='email-input']' instead of '//div[@class='dropdown']/a',False,2025-02-19T00:00:00
SEL-5067,Filter Test,GitLab CI,Edge,windows-latest,JavaScript,AWS,develop,network_api_error,test,Network Error,AssertionError: Expected HTTP 200 but received 503 from /api/v1/products,ConnectionError at FilterTest.callExternalAPI(),MEDIUM,N/A,N/A,4,132,39.75,1630,True,Add retry logic with exponential backoff for transient network failures,True,2025-10-26T00:00:00
SEL-1064,Multi-Tab Navigation Test,Jenkins,Safari,windows-latest,JavaScript,On-Prem,feature-x,locator_issue,test,Test Failure,org.openqa.selenium.NoSuchElementException: no such element: Unable to locate element: {#login-btn},ElementNotInteractableException at Multi-TabNavigationTest.sendKeys(),HIGH,#login-btn,[data-testid='email-input'],1,8,50.98,2811,False,Locator changed after UI refactor. Use '[data-testid='email-input']' instead of '#login-btn',False,2025-04-24T00:00:00
SEL-3064,File Upload Test,Jenkins,Firefox,windows-latest,JavaScript,GCP,hotfix,test_data_issue,test,Test Failure,AssertionError: Expected status 'ACTIVE' but found 'INACTIVE' — stale test fixture,AssertionError at FileUploadTest.validateExpectedResult(),LOW,hardcoded/stale test data,dynamic test data with @BeforeEach setup,1,36,13.47,836,True,Validate test data availability in @BeforeEach setup method,True,2025-12-18T00:00:00
SEL-4009,File Upload Test,Jenkins,Chrome,windows-latest,JavaScript,Azure,main,environment_failure,test,Resource Exhaustion,System.Exception: General failure detected in the testing pipeline.,Exception at generic_handler.py,CRITICAL,N/A,N/A,4,27,92.86,4742,False,Restart test environment services and verify all dependencies are running,True,2025-03-24T00:00:00
SEL-3129,Cart Validation Test,GitHub Actions,Firefox,windows-latest,C#,Azure,hotfix,test_data_issue,test,Test Failure,An unexpected error occurred during test execution.,Exception at generic_handler.py,LOW,hardcoded/stale test data,dynamic test data with @BeforeEach setup,0,34,24.2,1784,True,Validate test data availability in @BeforeEach setup method,True,2025-03-02T00:00:00
SEL-2075,Form Validation Test,GitHub Actions,Safari,macos-latest,Python,AWS,hotfix,synchronization_issue,test,Timeout,ElementClickInterceptedException: element click intercepted: another element obscures the target,ElementClickInterceptedException at FormValidationTest.clickButton() — overlay not dismissed,MEDIUM,time.sleep(2),"WebDriverWait(driver, 10).until(EC.presence_of_element_located(locator))",3,158,37.77,2056,True,Use fluent wait to handle dynamic page loading instead of fixed sleep,False,2025-09-05T00:00:00
SEL-2004,Multi-Tab Navigation Test,GitLab CI,Edge,windows-latest,Java,AWS,main,environment_failure,test,Timeout,TimeoutException: Timed out after 10000ms while waiting for element '.modal-overlay' to disappear,TimeoutException at WebDriverWait.until() — element not ready within timeout period,HIGH,driver.implicitly_wait(2),"WebDriverWait(driver, 12).until(EC.invisibility_of_element_located(loader))",2,57,24.43,2263,True,"Replace 'driver.implicitly_wait(2)' with explicit wait: WebDriverWait(driver, 12).until(EC.invisibility_of_element_located(loader))",False,2025-05-31T00:00:00
SEL-4004,Multi-Tab Navigation Test,GitHub Actions,Chrome,windows-latest,Java,Azure,hotfix,environment_failure,build,Configuration Error,RuntimeError: Test environment variable SELENIUM_REMOTE_URL not configured,EnvironmentError at TestBase.getDriver() — RemoteWebDriver unavailable,CRITICAL,N/A,N/A,4,7,79.17,3190,False,Verify test environment Docker containers are healthy before test run,True,2025-04-03T00:00:00
SEL-3106,Product Search Test,CircleCI,Chrome,windows-latest,C#,On-Prem,main,test_data_issue,test,Test Failure,SQLException: Test user 'qa_user_001' does not exist in test environment database,NullPointerException at ProductSearchTest.getTestRecord(),MEDIUM,hardcoded/stale test data,dynamic test data with @BeforeEach setup,0,13,30.53,871,True,"Use test data factories to ensure isolated, reproducible test state",True,2025-06-01T00:00:00
SEL-4099,Cart Validation Test,GitLab CI,Safari,windows-latest,JavaScript,GCP,main,environment_failure,test,Dependency Error,The operation timed out after 60 seconds.,Exception at generic_handler.py,HIGH,N/A,N/A,3,28,88.91,5960,False,Update ChromeDriver version to match installed Chrome browser version,True,2025-11-29T00:00:00
SEL-5094,Login Test,Azure DevOps,Edge,macos-latest,C#,On-Prem,feature-x,application_defect,test,Network Error,ReadTimeout: HTTPSConnectionPool read operation timed out after 30 seconds,ConnectionError at LoginTest.callExternalAPI(),HIGH,N/A,N/A,2,89,26.89,1210,True,Add retry logic with exponential backoff for transient network failures,True,2025-10-16T00:00:00
SEL-6026,Report Export Test,GitLab CI,Safari,macos-latest,Java,AWS,hotfix,application_defect,test,Test Failure,AssertionError: Form submission succeeded but no confirmation email was sent,AssertionError at ReportExportTest.verifyExpectedBehavior() — application regression,HIGH,N/A,N/A,1,54,45.84,1694,False,This is an application-level defect. Raise a bug report for the development team,True,2025-06-25T00:00:00
SEL-5039,Logout Test,Azure DevOps,Edge,macos-latest,Python,AWS,develop,network_api_error,test,Network Error,JSONDecodeError: API response body is not valid JSON — service returned HTML error page,AssertionError at APIHelper.assertResponseStatus() — unexpected status code,HIGH,N/A,N/A,4,91,21.81,1907,True,Add retry logic with exponential backoff for transient network failures,True,2025-03-27T00:00:00
SEL-2109,Form Validation Test,GitLab CI,Chrome,macos-latest,C#,AWS,main,synchronization_issue,test,Timeout,ElementClickInterceptedException: element click intercepted: another element obscures the target,ElementClickInterceptedException at FormValidationTest.clickButton() — overlay not dismissed,HIGH,time.sleep(2),"WebDriverWait(driver, 12).until(EC.invisibility_of_element_located(loader))",4,91,44.79,1440,True,Use fluent wait to handle dynamic page loading instead of fixed sleep,False,2025-12-01T00:00:00
SEL-2073,API Response Test,GitHub Actions,Edge,ubuntu-latest,Python,Azure,hotfix,application_defect,test,Timeout,selenium.common.exceptions.TimeoutException: Message: Timeout waiting for element to be clickable,TimeoutException at WebDriverWait.until() — element not ready within timeout period,MEDIUM,"WebDriverWait(driver, 5)","WebDriverWait(driver, 15).until(EC.visibility_of_element_located(locator))",3,152,36.2,1156,True,"Replace 'WebDriverWait(driver, 5)' with explicit wait: WebDriverWait(driver, 15).until(EC.visibility_of_element_located(locator))",False,2025-05-22T00:00:00
SEL-2024,Checkout Test,GitLab CI,Chrome,windows-latest,Java,AWS,main,synchronization_issue,test,Timeout,Test runner encountered an unhandled exception.,Exception at generic_handler.py,HIGH,time.sleep(0.5),"WebDriverWait(driver, 20).until(EC.element_to_be_clickable(locator))",3,96,14.11,2573,True,Use fluent wait to handle dynamic page loading instead of fixed sleep,False,2025-06-06T00:00:00
SEL-4118,Registration Test,Jenkins,Safari,ubuntu-latest,Java,On-Prem,develop,environment_failure,deploy,Dependency Error,SSLError: SSL certificate verification failed for test environment endpoint,WebDriverException at WebDriver.initialize() — driver binary not found,CRITICAL,N/A,N/A,4,26,77.31,3108,False,Restart test environment services and verify all dependencies are running,True,2025-03-21T00:00:00
SEL-6109,Payment Test,Azure DevOps,Edge,windows-latest,JavaScript,GCP,main,application_defect,test,Test Failure,AssertionError: Expected button 'Add to Cart' to be enabled but it is disabled — regression introduced,AssertionError at PaymentTest.verifyExpectedBehavior() — application regression,CRITICAL,N/A,N/A,0,84,39.8,2933,False,Test correctly identified a regression. Do NOT auto-heal — requires code fix,True,2025-12-07T00:00:00
SEL-1019,Multi-Tab Navigation Test,GitLab CI,Chrome,ubuntu-latest,JavaScript,AWS,main,locator_issue,test,Test Failure,InvalidSelectorException: invalid selector: .modal-close-btn is not a valid CSS selector,"NoSuchElementException at Multi-TabNavigationTest.findElement(By.cssSelector("".modal-close-btn""))",MEDIUM,.modal-close-btn,[data-testid='login-button'],1,82,30.53,1916,True,Locator changed after UI refactor. Use '[data-testid='login-button']' instead of '.modal-close-btn',False,2025-11-21T00:00:00
SEL-5107,Profile Update Test,Azure DevOps,Edge,ubuntu-latest,Python,AWS,release,network_api_error,test,Network Error,requests.exceptions.ConnectionError: HTTPSConnectionPool — Max retries exceeded for URL,AssertionError at APIHelper.assertResponseStatus() — unexpected status code,HIGH,N/A,N/A,4,171,17.54,612,True,Use mock API responses for test isolation instead of live API calls,True,2025-07-05T00:00:00
SEL-5024,Password Reset Test,CircleCI,Edge,ubuntu-latest,Python,On-Prem,feature-x,network_api_error,test,Network Error,JSONDecodeError: API response body is not valid JSON — service returned HTML error page,ConnectionError at PasswordResetTest.callExternalAPI(),MEDIUM,N/A,N/A,2,173,26.12,1756,True,Add retry logic with exponential backoff for transient network failures,True,2025-10-21T00:00:00
SEL-5005,Notification Test,Jenkins,Safari,ubuntu-latest,C#,AWS,main,network_api_error,test,Network Error,The operation timed out after 60 seconds.,Exception at generic_handler.py,MEDIUM,N/A,N/A,5,169,45.98,1742,True,Verify API service health before test execution using smoke tests,True,2025-04-21T00:00:00
SEL-6034,User Role Test,CircleCI,Firefox,ubuntu-latest,C#,Azure,feature-x,application_defect,test,Test Failure,The operation timed out after 60 seconds.,Exception at generic_handler.py,CRITICAL,N/A,N/A,1,46,52.79,2251,False,Forward to developer: application behaviour does not match expected specification,True,2025-07-21T00:00:00
SEL-4057,Session Timeout Test,CircleCI,Edge,windows-latest,C#,GCP,hotfix,environment_failure,test,Resource Exhaustion,ConnectionRefusedError: Test environment database is not reachable at localhost:5432,ConnectionRefusedError at SessionTimeoutTest.setupEnvironment(),CRITICAL,N/A,N/A,5,15,67.57,6574,False,Check Selenium Grid hub availability and ensure test node is registered,True,2025-09-18T00:00:00
SEL-3100,Form Validation Test,GitHub Actions,Chrome,macos-latest,Java,On-Prem,main,test_data_issue,test,Test Failure,AssertionError: Expected user role 'admin' but got 'viewer' — DB seed data incorrect,NullPointerException at FormValidationTest.getTestRecord(),LOW,hardcoded/stale test data,dynamic test data with @BeforeEach setup,1,6,18.53,1649,True,"Use test data factories to ensure isolated, reproducible test state",True,2025-07-11T00:00:00
SEL-2057,Session Timeout Test,GitHub Actions,Edge,windows-latest,C#,On-Prem,feature-x,synchronization_issue,test,Timeout,ElementClickInterceptedException: element click intercepted: another element obscures the target,ElementClickInterceptedException at SessionTimeoutTest.clickButton() — overlay not dismissed,MEDIUM,time.sleep(1),"WebDriverWait(driver, 10).until(EC.presence_of_element_located(locator))",2,71,43.67,1085,True,Use fluent wait to handle dynamic page loading instead of fixed sleep,False,2025-04-11T00:00:00
SEL-2086,Dashboard Load Test,GitLab CI,Edge,macos-latest,JavaScript,On-Prem,feature-x,synchronization_issue,test,Timeout,The operation timed out after 60 seconds.,Exception at generic_handler.py,HIGH,driver.implicitly_wait(3),"WebDriverWait(driver, 10).until(EC.presence_of_element_located(locator))",4,115,17.36,606,True,"Replace 'driver.implicitly_wait(3)' with explicit wait: WebDriverWait(driver, 10).until(EC.presence_of_element_located(locator))",False,2025-05-01T00:00:00
SEL-2018,Order History Test,GitLab CI,Chrome,windows-latest,Python,GCP,feature-x,synchronization_issue,test,Timeout,ElementClickInterceptedException: element click intercepted: another element obscures the target,ElementClickInterceptedException at OrderHistoryTest.clickButton() — overlay not dismissed,HIGH,time.sleep(0.5),"WebDriverWait(driver, 10).until(EC.presence_of_element_located(locator))",3,126,16.0,1496,True,"Replace 'time.sleep(0.5)' with explicit wait: WebDriverWait(driver, 10).until(EC.presence_of_element_located(locator))",False,2025-11-04T00:00:00
SEL-5097,Payment Test,GitHub Actions,Chrome,ubuntu-latest,Java,AWS,hotfix,network_api_error,test,Network Error,requests.exceptions.ConnectionError: HTTPSConnectionPool — Max retries exceeded for URL,AssertionError at APIHelper.assertResponseStatus() — unexpected status code,MEDIUM,N/A,N/A,2,155,48.3,564,True,Increase API request timeout configuration for slow test environments,True,2025-04-15T00:00:00
SEL-3116,Cart Validation Test,Azure DevOps,Firefox,windows-latest,Python,On-Prem,develop,test_data_issue,test,Test Failure,AssertionError: Expected user role 'admin' but got 'viewer' — DB seed data incorrect,AssertionError at CartValidationTest.validateExpectedResult(),LOW,hardcoded/stale test data,dynamic test data with @BeforeEach setup,1,11,33.8,1267,True,Use dynamic test data generation instead of hardcoded values,True,2025-04-18T00:00:00
SEL-1001,Multi-Tab Navigation Test,CircleCI,Firefox,windows-latest,JavaScript,AWS,develop,locator_issue,test,Test Failure,Test runner encountered an unhandled exception.,Exception at generic_handler.py,MEDIUM,//div[@class='dropdown']/a,[data-testid='register-link'],0,32,67.86,1890,True,Update locator from '//div[@class='dropdown']/a' to '[data-testid='register-link']' using stable data-testid attribute,False,2025-07-14T00:00:00
SEL-5018,Dashboard Load Test,GitLab CI,Safari,macos-latest,Python,Azure,hotfix,network_api_error,test,Network Error,AssertionError: Expected response field 'status' == 'success' but got 'error',ReadTimeout at DashboardLoadTest.validateAPIResponse(),MEDIUM,N/A,N/A,3,37,36.44,1572,True,Use mock API responses for test isolation instead of live API calls,True,2025-04-21T00:00:00
SEL-2131,Order History Test,Jenkins,Chrome,ubuntu-latest,C#,Azure,develop,network_api_error,test,Timeout,ElementClickInterceptedException: element click intercepted: another element obscures the target,TimeoutException at WebDriverWait.until() — element not ready within timeout period,MEDIUM,time.sleep(1),"WebDriverWait(driver, 10).until(EC.presence_of_element_located(locator))",4,214,47.26,893,True,Increase timeout and add explicit visibility check before interaction,False,2025-06-15T00:00:00
SEL-1113,User Role Test,GitLab CI,Chrome,windows-latest,Python,Azure,feature-x,locator_issue,test,Test Failure,InvalidSelectorException: invalid selector: //div[@class='dropdown']/a is not a valid CSS selector,StaleElementReferenceException at UserRoleTest.clickElement(),HIGH,//div[@class='dropdown']/a,[aria-label='Main Navigation'] li:nth-child(3),1,69,42.52,2764,False,Locator changed after UI refactor. Use '[aria-label='Main Navigation'] li:nth-child(3)' instead of '//div[@class='dropdown']/a',False,2025-12-15T00:00:00
SEL-6003,Notification Test,GitHub Actions,Safari,ubuntu-latest,C#,On-Prem,feature-x,application_defect,test,Test Failure,System.Exception: General failure detected in the testing pipeline.,Exception at generic_handler.py,HIGH,N/A,N/A,1,38,43.12,613,False,Test correctly identified a regression. Do NOT auto-heal — requires code fix,True,2025-04-29T00:00:00
SEL-1151,Registration Test,Azure DevOps,Firefox,macos-latest,Java,On-Prem,develop,locator_issue,test,Test Failure,selenium.common.exceptions.NoSuchElementException: Message: no such element: #product-add-cart,StaleElementReferenceException at RegistrationTest.clickElement(),MEDIUM,#product-add-cart,[data-testid='add-to-cart'],1,68,27.3,1196,False,Replace brittle CSS selector '#product-add-cart' with data attribute '[data-testid='add-to-cart']',False,2025-08-04T00:00:00
